# Qboost UI strings. Columns: key<TAB>en<TAB>es<TAB>ja<TAB>fr<TAB>ar<TAB>ko<TAB>zh<TAB>pt<TAB>de<TAB>ru<TAB>hi<TAB>id<TAB>tr
key	en	es	ja	fr	ar	ko	zh	pt	de	ru	hi	id	tr
tab_library	Library	Biblioteca	ライブラリ	Bibliothèque	المكتبة	라이브러리	游戏库	Biblioteca	Bibliothek	Библиотека	लाइब्रेरी	Pustaka	Kütüphane
tab_super_base	Super Base	Super Base	Super Base	Super Base	Super Base	Super Base	Super Base	Super Base	Super Base	Super Base	Super Base	Super Base	Super Base
tab_favorites	Favorites	Favoritos	お気に入り	Favoris	المفضلة	즐겨찾기	收藏	Favoritos	Favoriten	Избранное	पसंदीदा	Favorit	Favoriler
no_favorite_games	No favorite games yet	Aún no hay juegos favoritos	お気に入りのゲームはまだありません	Aucun jeu favori pour l'instant	لا توجد ألعاب مفضلة بعد	아직 즐겨찾기한 게임이 없습니다	还没有收藏的游戏	Nenhum jogo favorito ainda	Noch keine Favoriten	Пока нет избранных игр	अभी तक कोई पसंदीदा गेम नहीं	Belum ada game favorit	Henüz favori oyun yok
add_to_favorites	Add to favorites	Añadir a favoritos	お気に入りに追加	Ajouter aux favoris	إضافة إلى المفضلة	즐겨찾기에 추가	添加到收藏	Adicionar aos favoritos	Zu Favoriten hinzufügen	Добавить в избранное	पसंदीदा में जोड़ें	Tambah ke favorit	Favorilere ekle
remove_from_favorites	Remove from favorites	Quitar de favoritos	お気に入りから削除	Retirer des favoris	إزالة من المفضلة	즐겨찾기에서 제거	从收藏中移除	Remover dos favoritos	Aus Favoriten entfernen	Удалить из избранного	पसंदीदा से हटाएं	Hapus dari favorit	Favorilerden kaldır
start_game	Start Game	Iniciar juego	ゲームを開始	Lancer le jeu	ابدأ اللعبة	게임 시작	开始游戏	Iniciar jogo	Spiel starten	Начать игру	गेम शुरू करें	Mulai game	Oyunu başlat
install_play	Install / Play	Instalar / Jugar	インストール / プレイ	Installer / Jouer	تثبيت / لعب	설치 / 플레이	安装 / 开玩	Instalar / Jogar	Installieren / Spielen	Установить / Играть	इंस्टॉल / खेलें	Instal / Main	Yükle / Oyna
launch_game	Launch Game	Iniciar juego	ゲームを起動	Lancer le jeu	تشغيل اللعبة	게임 실행	启动游戏	Abrir jogo	Spiel starten	Запустить игру	गेम लॉन्च करें	Luncurkan game	Oyunu aç
saturation	Saturation	Saturación	彩度	Saturation	التشبع	채도	饱和度	Saturação	Sättigung	Насыщенность	संतृप्ति	Saturasi	Doygunluk
search_games	Search games	Buscar juegos	ゲームを検索	Rechercher des jeux	ابحث عن الألعاب	게임 검색	搜索游戏	Buscar jogos	Spiele suchen	Поиск игр	गेम खोजें	Cari game	Oyun ara
no_games_match	No games match your search	Ningún juego coincide con tu búsqueda	該当するゲームがありません	Aucun jeu ne correspond à votre recherche	لا توجد ألعاب مطابقة لبحثك	검색과 일치하는 게임이 없습니다	没有符合搜索的游戏	Nenhum jogo corresponde à sua busca	Keine Spiele gefunden	По вашему запросу игр не найдено	आपकी खोज से कोई गेम मेल नहीं खाता	Tidak ada game yang cocok	Aramanızla eşleşen oyun yok
add_game	Add game	Añadir juego	ゲームを追加	Ajouter un jeu	إضافة لعبة	게임 추가	添加游戏	Adicionar jogo	Spiel hinzufügen	Добавить игру	गेम जोड़ें	Tambah game	Oyun ekle
remove_library	Remove from library	Quitar de la biblioteca	ライブラリから削除	Retirer de la bibliothèque	إزالة من المكتبة	라이브러리에서 제거	从游戏库移除	Remover da biblioteca	Aus Bibliothek entfernen	Удалить из библиотеки	लाइब्रेरी से हटाएं	Hapus dari pustaka	Kütüphaneden kaldır
purge_ram	Purge RAM	Liberar RAM	RAMを解放	Libérer la RAM	تفريغ الذاكرة	RAM 정리	清理内存	Liberar RAM	RAM leeren	Очистить ОЗУ	RAM साफ़ करें	Bersihkan RAM	RAM temizle
hud_help	HUD permission help	Ayuda de permisos del HUD	HUDの権限ヘルプ	Aide pour les autorisations du HUD	مساعدة أذونات HUD	HUD 권한 도움말	HUD 权限帮助	Ajuda com permissões do HUD	Hilfe zu HUD-Berechtigungen	Помощь с разрешениями HUD	HUD अनुमति सहायता	Bantuan izin HUD	HUD izni yardımı
installed_on_device	Installed on device	Instalado en el dispositivo	デバイスにインストール済み	Installé sur l'appareil	مثبتة على الجهاز	기기에 설치됨	已安装在设备上	Instalado no dispositivo	Auf dem Gerät installiert	Установлено на устройстве	डिवाइस पर इंस्टॉल है	Terpasang di perangkat	Cihazda yüklü
not_installed	Not installed	No instalado	未インストール	Non installé	غير مثبتة	설치되지 않음	未安装	Não instalado	Nicht installiert	Не установлено	इंस्टॉल नहीं है	Belum terpasang	Yüklü değil
not_linked	Not linked to an app yet	Aún sin vincular a una app	まだアプリに紐付けられていません	Pas encore lié à une application	غير مرتبطة بتطبيق بعد	아직 앱에 연결되지 않음	尚未关联应用	Ainda não vinculado a um app	Noch nicht mit einer App verknüpft	Пока не привязано к приложению	अभी तक किसी ऐप से जुड़ा नहीं है	Belum terhubung ke aplikasi	Henüz bir uygulamaya bağlı değil
hud_ready	HUD: READY	HUD: LISTO	HUD: 準備完了	HUD : PRÊT	HUD: جاهز	HUD: 준비됨	HUD: 就绪	HUD: PRONTO	HUD: BEREIT	HUD: ГОТОВ	HUD: तैयार	HUD: SIAP	HUD: HAZIR
hud_fix	HUD: FIX ACCESS	HUD: DAR ACCESO	HUD: 権限を設定	HUD : ACCÈS REQUIS	HUD: أصلح الإذن	HUD: 권한 필요	HUD: 需要授权	HUD: CONCEDER ACESSO	HUD: ZUGRIFF NÖTIG	HUD: НУЖЕН ДОСТУП	HUD: अनुमति दें	HUD: BERI IZIN	HUD: İZİN VER
menu	Menu	Menú	メニュー	Menu	القائمة	메뉴	菜单	Menu	Menü	Меню	मेनू	Menu	Menü
search	Search	Buscar	検索	Rechercher	بحث	검색	搜索	Buscar	Suche	Поиск	खोज	Cari	Ara
settings	Settings	Ajustes	設定	Paramètres	الإعدادات	설정	设置	Configurações	Einstellungen	Настройки	सेटिंग्स	Pengaturan	Ayarlar
fps_cap	FPS cap	Límite de FPS	FPS上限	Limite de FPS	حد الإطارات	FPS 제한	帧率上限	Limite de FPS	FPS-Limit	Лимит FPS	FPS सीमा	Batas FPS	FPS sınırı
mode_performance	Performance	Rendimiento	パフォーマンス	Performance	الأداء	성능	性能	Desempenho	Leistung	Производительность	परफ़ॉर्मेंस	Performa	Performans
mode_balanced	Balanced	Equilibrado	バランス	Équilibré	متوازن	균형	均衡	Equilibrado	Ausgewogen	Баланс	संतुलित	Seimbang	Dengeli
mode_battery	Battery saver	Ahorro de batería	バッテリーセーバー	Économie de batterie	توفير البطارية	절전	省电	Economia de bateria	Energiesparen	Экономия заряда	बैटरी सेवर	Hemat baterai	Pil tasarrufu
set_general	General	General	一般	Général	عام	일반	常规	Geral	Allgemein	Общие	सामान्य	Umum	Genel
set_audio	Audio & feedback	Audio y respuesta	サウンドとフィードバック	Audio et retour	الصوت والاستجابة	오디오 및 피드백	音频与反馈	Áudio e feedback	Audio & Feedback	Звук и отклик	ऑडियो और फ़ीडबैक	Audio & umpan balik	Ses ve geri bildirim
set_panel	In-game panel	Panel en juego	ゲーム内パネル	Panneau en jeu	لوحة داخل اللعبة	게임 내 패널	游戏内面板	Painel no jogo	Ingame-Panel	Панель в игре	गेम के अंदर पैनल	Panel dalam game	Oyun içi panel
set_display	Display	Pantalla	ディスプレイ	Affichage	العرض	디스플레이	显示	Tela	Anzeige	Экран	डिस्प्ले	Layar	Ekran
set_about	About	Acerca de	情報	À propos	حول	정보	关于	Sobre	Info	О приложении	जानकारी	Tentang	Hakkında
language	Language	Idioma	言語	Langue	اللغة	언어	语言	Idioma	Sprache	Язык	भाषा	Bahasa	Dil
language_desc	Language of the Qboost menus and in-game panel	Idioma de los menús de Qboost y del panel en juego	Qboostのメニューとゲーム内パネルの言語	Langue des menus Qboost et du panneau en jeu	لغة قوائم Qboost واللوحة داخل اللعبة	Qboost 메뉴와 게임 내 패널의 언어	Qboost 菜单和游戏内面板的语言	Idioma dos menus do Qboost e do painel no jogo	Sprache der Qboost-Menüs und des Ingame-Panels	Язык меню Qboost и панели в игре	Qboost मेनू और गेम पैनल की भाषा	Bahasa menu Qboost dan panel dalam game	Qboost menülerinin ve oyun içi panelin dili
controller	Controller	Mando	コントローラー	Manette	وحدة التحكم	컨트롤러	手柄	Controle	Controller	Геймпад	कंट्रोलर	Controller	Kumanda
connected	Connected	Conectado	接続済み	Connecté	متصل	연결됨	已连接	Conectado	Verbunden	Подключен	जुड़ा हुआ	Terhubung	Bağlı
not_connected	Not connected	No conectado	未接続	Non connecté	غير متصل	연결 안 됨	未连接	Não conectado	Nicht verbunden	Не подключен	जुड़ा नहीं	Tidak terhubung	Bağlı değil
controller_hints	Controller hints	Ayudas del mando	コントローラーヒント	Aide manette	تلميحات وحدة التحكم	컨트롤러 힌트	手柄提示	Dicas do controle	Controller-Hinweise	Подсказки геймпада	कंट्रोलर संकेत	Petunjuk controller	Kumanda ipuçları
controller_hints_desc	Show LB / RB / Y / Menu hints. Auto shows them only while a controller is connected	Muestra las ayudas LB / RB / Y / Menú. Automático solo las muestra con un mando conectado	LB / RB / Y / メニューのヒントを表示します。自動はコントローラー接続中のみ表示	Affiche les aides LB / RB / Y / Menu. Auto : uniquement quand une manette est connectée	يعرض تلميحات LB / RB / Y / القائمة. تلقائي: تظهر فقط عند توصيل وحدة تحكم	LB / RB / Y / 메뉴 힌트를 표시합니다. 자동은 컨트롤러가 연결된 동안만 표시	显示 LB / RB / Y / 菜单提示。自动模式仅在连接手柄时显示	Mostra as dicas LB / RB / Y / Menu. Automático só mostra com um controle conectado	Zeigt LB / RB / Y / Menü-Hinweise. Automatisch nur bei verbundenem Controller	Показывает подсказки LB / RB / Y / Меню. Авто — только при подключенном геймпаде	LB / RB / Y / मेनू संकेत दिखाएं। ऑटो केवल कंट्रोलर जुड़ा होने पर दिखाता है	Tampilkan petunjuk LB / RB / Y / Menu. Otomatis hanya saat controller terhubung	LB / RB / Y / Menü ipuçlarını gösterir. Otomatik yalnızca kumanda bağlıyken gösterir
opt_auto	Auto	Automático	自動	Auto	تلقائي	자동	自动	Automático	Automatisch	Авто	ऑटो	Otomatis	Otomatik
opt_always	Always	Siempre	常に	Toujours	دائمًا	항상	始终	Sempre	Immer	Всегда	हमेशा	Selalu	Her zaman
opt_never	Never	Nunca	しない	Jamais	أبدًا	안 함	从不	Nunca	Nie	Никогда	कभी नहीं	Tidak pernah	Asla
lobby_music	Lobby music	Música del lobby	ロビーの音楽	Musique du lobby	موسيقى الردهة	로비 음악	大厅音乐	Música do lobby	Lobby-Musik	Музыка лобби	लॉबी संगीत	Musik lobi	Lobi müziği
lobby_music_desc	Play the lobby theme in Game Space	Reproduce el tema del lobby en Game Space	Game Spaceでロビーテーマを再生	Joue le thème du lobby dans Game Space	تشغيل موسيقى الردهة في Game Space	Game Space에서 로비 테마 재생	在 Game Space 中播放大厅主题曲	Toca o tema do lobby no Game Space	Spielt das Lobby-Thema im Game Space	Играет тему лобби в Game Space	Game Space में लॉबी थीम चलाएं	Putar tema lobi di Game Space	Game Space'te lobi temasını çalar
